name,description,price,pictureUri,type__id,type__type,brand__id,brand__brand,availableStock,restockThreshold,maxStockThreshold
"Apple – MacBook Pro - 13 Display with Touch Bar - Intel Core i5 - 16GB Memory - 512GB SSD (Latest Model) - Space Gray",MacBook Pro has a tenth-generation quad-core Intel processor with Turbo Boost up to 3.8GHz. A brilliant and colorful Retina display with True Tone technology for a more true-to-life viewing experience. A backlit Magic Keyboard and Touch ID. Fast integrated graphics. And the versatile Touch Bar for more ways to be productive. It's Apple's most powerful 13-inch notebook. Pushed even further.,1599.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6287/6287726_sd.jpg;maxHeight=640;maxWidth=550,5ee68524b0f5924379b2b02a,Laptops,5ee6899020739b47331de150,Apple,92,12,120
"Apple - MacBook Pro - 16 Display with Touch Bar - Intel Core i7 - 16GB Memory - AMD Radeon Pro 5300M - 512GB SSD (Latest Model) - Space Gray","Expand your view of everything on MacBook Pro thanks to a larger 16 Retina display with sharper pixel resolution and support for millions of colors.¹ Harness the power of 6-core processors and AMD Radeon Pro 5000M series graphics with 4GB of GDDR6 memory, together with an optimized thermal architecture for groundbreaking performance. Featuring 16GB memory and 512GB of storage.³ Touch ID and the Touch Bar. And all-day battery life.² Designed for pros who put performance above all else, MacBook Pro gives you the power to accomplish anything, anywhere.",2099.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6366/6366564_sd.jpg;maxHeight=640;maxWidth=550,5ee68524b0f5924379b2b02a,Laptops,5ee6899020739b47331de150,Apple,28,19,190
"Lenovo - Yoga C940 2-in-1 14 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB SSD + 32GB Optane - Mica","Lenovo Yoga C940 Convertible 2-in-1 Laptop: Enhance digital creativity with this Lenovo Yoga laptop. The 14-inch UHD display with 10-point multi-touch operation offers high-quality visuals and lets you type easily, while the 512GB SSD offers rapid startup and data access times for running complete projects easily. This Lenovo Yoga laptop has an Intel Core i7 processor and 16GB of RAM, which offer fast task execution speeds.",1299.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6369/6369421_sd.jpg;maxHeight=640;maxWidth=550,5ee68524b0f5924379b2b02a,Laptops,5ee689a620739b47331de151,Lenovo,48,13,130
"Asus - ROG Zephyrus G14 14 Gaming Laptop - AMD Ryzen 9 - 16GB Memory - NVIDIA GeForce RTX 2060 Max-Q - 1TB SSD - Moonlight White","ASUS ROG Zephyrus G14 Gaming Laptop: Enjoy everyday gaming with this ASUS notebook PC. The AMD Ryzen 9 processor and 16GB of RAM let you run graphics-heavy games smoothly, while the potent NVIDIA GeForce RTX 2060 Max-Q graphics produce high-quality visuals on the 14-inch Full HD display. This ASUS notebook PC has 1TD SSD that shortens load times and offers ample storage.",1449.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6403/6403816_sd.jpg;maxHeight=640;maxWidth=550,5ee68524b0f5924379b2b02a,Laptops,5ee689cd20739b47331de153,Asus,97,17,170
"Asus - ROG Zephyrus M15 15.6 Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 2070 Max-Q - 1TB SSD - Prism Gray","ASUS ROG Zephyrus M15 Gaming Laptop: Increase your productivity with this 15.6-inch Full HD ASUS Notebook laptop. Wi-Fi and Bluetooth technology ensure seamless pairing with compatible devices, while the Intel Core i7 processor and 16GB of RAM provide powerful performance. This ASUS Notebook laptop has a 1TB SSD for ample storage and rapid boots, and the NVIDIA GeForce RTX 2070 Max-Q graphics deliver crisp visuals.",1579.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6403/6403815_sd.jpg;maxHeight=640;maxWidth=550,5ee68524b0f5924379b2b02a,Laptops,5ee689cd20739b47331de153,Asus,28,26,260
"Dell - Inspiron 15.6 7000 2-in-1 4K UHD Touch-Screen Laptop - Intel Core i7 - 16GB - GeForce MX250 - 512GB SSD + 32GB Optane - Black","Dell Inspiron Convertible 2-in-1 Laptop: Smart meets sleek in this compact 2-in-1. 15 laptop with a heat dissipating hinge design, full-size Dell Premium Active Pen, adaptive thermals, 4k UHD screen and full number pad. Work efficiently while on the go with this Dell Inspiron two-in-one notebook. The 15.6-inch Ultra HD touch screen with Active Pen support lets you create sketches with precise detail, and 16GB of RAM handle seamless multitasking. This Dell Inspiron two-in-one notebook features a 512GB SSD for prompt data access, and the Intel Core i7 processor and NVIDIA GeForce MX250 graphics card enable intensive photo and video editing.",1149.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6373/6373032_rd.jpg;maxHeight=640;maxWidth=550,5ee68524b0f5924379b2b02a,Laptops,5ee689b220739b47331de152,Dell,32,28,280
"Dell - Inspiron 17.3 7000 2-in-1 Touch-Screen Laptop - Intel Core i7 - 16GB Memory - GeForce MX250 - 512GB SSD + 32GB Optane - Silver","Dell Inspiron Convertible 2-in-1 Laptop: Smart meets sleek in this compact 2-in-1 laptop. With an innovative, heat dissipating hinge design and adaptive thermals. Get reliable computing performance from this 17.3-inch Full HD touchscreen Dell Inspiron two-in-one laptop. The Intel Core i7 processor and 16GB RAM enable multiple applications to run smoothly, while the 512GB SSD offers fast program loading, quick boot-ups and massive storage space. Enjoy immersive visuals with the NVIDIA GeForce MX250 graphics card on this Dell Inspiron two-in-one laptop.",1199.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6372/6372667_rd.jpg;maxHeight=640;maxWidth=550,5ee68524b0f5924379b2b02a,Laptops,5ee689b220739b47331de152,Dell,55,19,190
"Dell - G5 15.6 Gaming Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1660 Ti Max-Q - 1TB HDD + 256GB SSD - Deep Space Black","Work or play on the go with this Dell G5 15 notebook. The 15.6-inch FHD display delivers a clear crisp picture, while the NVIDIA GTX 1660 Ti graphics card supports most modern games. This Dell G5 15 notebook has a 256GB SSD and 1TB hard drive for ample storage and quick file access, and the Intel Core i7 processor and 16GB of RAM offer quick multitasking.",1299.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6350/6350874_sd.jpg;maxHeight=640;maxWidth=550,5ee68524b0f5924379b2b02a,Laptops,5ee689b220739b47331de152,Dell,83,18,180
"HP - Spectre x360 2-in-1 15.6 4K Ultra HD Touch-Screen Laptop Intel Core i7 16GB Memory GeForce GTX 1650 Ti 1TB SSD - Nightfall Black","HP Spectre x360 Convertible 2-in-1 Laptop: Work, game and stay entertained with this HP Spectre x360 convertible laptop. The NVIDIA GeForce GTX 1650 Ti graphics card produces stunning visuals on the 15.6-inch 4K touchscreen, while the Intel Core i7 processor and 16GB of RAM deliver smooth performance. This Wi-Fi and Bluetooth-enabled HP Spectre x360 convertible laptop has a 1TB SSD and 32GB of Intel Optane memory, offering ample storage space and rapid boots.",1749.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6406/6406696_sd.jpg;maxHeight=640;maxWidth=550,5ee68524b0f5924379b2b02a,Laptops,5ee6898a20739b47331de14f,HP,97,15,150
"Microsoft - Surface Book 3 15 Touch-Screen PixelSense™ - 2-in-1 Laptop - Intel Core i7 - 16GB Memory - 256GB SSD - Platinum","Performance meets versatility. From intensive video and graphics files to high-octane gaming, the most powerful Surface laptop yet combines speed, graphics, and long battery life with the versatility of a laptop, tablet, and portable studio. Tackle your biggest demands with quadcore powered 10th Gen Intel® Core™ processors, blazing NVIDIA® graphics, and high-resolution PixelSense™ Display designed for Surface Pen* and touch.",2299.99,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6408/6408380_sd.jpg;maxHeight=640;maxWidth=550,5ee68524b0f5924379b2b02a,Laptops,5ee68a0220739b47331de155,Microsoft,93,26,260
